This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"KNXX","WILLOW GROVE",-75.1444,40.1931,110,"ASOS","4161"
"KNYC","NEW YORK CIT",-73.9667,40.7833,47,"ASOS","4162"
"KNYL","YUMA MCAS",-114.6061,32.6567,66,"ASOS","4164"
"KNZJ","EL TORO MCAS",-117.7300,33.6700,117,"ASOS","4166"
"KNZW","SOUTH WEYMOU",-70.9300,42.1500,49,"ASOS","4167"
"KNZY","NORTH ISLAND",-117.2089,32.6908,7,"ASOS","4168"
"KOAK","OAKLAND",-122.2353,37.7194,1,"ASOS","4178"
"KOFF","OFFUTT AFB/B",-95.9200,41.1200,319,"ASOS","4189"
"KOFK","NORFOLK/STEF",-97.4369,41.9806,479,"ASOS","4190"
"KOKC","OKLAHOMA CIT",-97.6003,35.3886,394,"ASOS","4201"
"KOLM","OLYMPIA",-122.9033,46.9733,62,"ASOS","4209"
"KOMA","OMAHA/EPPLEY",-95.8992,41.3103,299,"ASOS","4215"
"KONT","ONTARIO INTL",-117.5758,34.0533,287,"ASOS","4224"
"KORD","CHICAGO/O'HA",-87.9044,41.9797,203,"ASOS","4235"
"KORF","NORFOLK INTL",-76.1919,36.9036,8,"ASOS","4237"
"KORH","WORCESTER (A",-71.8731,42.2706,307,"ASOS","4239"
"KOSC","WURTSMITH AF",-83.4000,44.4500,193,"ASOS","4243"
"KOTH","NORTH BEND (",-124.2500,43.4200,4,"ASOS","4247"
"KOTM","OTTUMWA INDU",-92.4481,41.1067,258,"ASOS","4248"
"KOVN","NORTH OMAHA",-96.0167,41.3667,406,"ASOS","4252"
"KOZR","CAIRNS AAF/O",-85.7200,31.2800,91,"ASOS","4264"
"KP35","SPICKARD",-93.7167,40.2500,271,"ASOS","4280"
"KP39","PEQUOT LAKE",-94.3167,46.6000,390,"ASOS","4282"
"KP75","SEUL CHOIX P",-86.2297,45.9500,178,"ASOS","4297"
"KPAH","PADUCAH/BARK",-88.7739,37.0564,125,"ASOS","4301"
"KPAM","TYNDALL AFB",-85.5800,30.0700,5,"ASOS","4302"
"KPBG","PLATTSBURGH",-73.4681,44.6508,71,"ASOS","4308"
"KPBI","WEST PALM BE",-80.0994,26.6847,5,"ASOS","4310"
"KPDT","PENDLETON MU",-118.8342,45.6983,455,"ASOS","4318"
"KPDX","PORTLAND INT",-122.6003,45.5908,8,"ASOS","4319"
"KPGA","PAGE MUNI (A",-111.4481,36.9206,1314,"ASOS","4328"
"KPHF","NEWPORT NEWS",-76.4931,37.1319,13,"ASOS","4333"
"KPHL","PHILADELPHIA",-75.2311,39.8683,6,"ASOS","4334"
"KPHX","PHOENIX/SKY",-112.0511,33.4342,345,"ASOS","4338"
"KPIA","PEORIA REGIO",-89.6839,40.6675,201,"ASOS","4339"
"KPIE","SAINT PETERS",-82.6856,27.9122,3,"ASOS","4341"
"KPIH","POCATELLO MU",-112.5711,42.9203,1356,"ASOS","4342"
"KPIT","PITTSBURGH I",-80.2664,40.5039,366,"ASOS","4346"
"KPKB","PARKERSBURG/",-81.4392,39.3450,262,"ASOS","4349"
"KPLN","PELLSTON/EMM",-84.7967,45.5708,220,"ASOS","4354"
"KPNC","PONCA CITY M",-97.0997,36.7306,307,"ASOS","4360"
"KPNE","PHILADELPHIA",-75.0136,40.0789,36,"ASOS","4361"
"KPNS","PENSACOLA RE",-87.1869,30.4781,36,"ASOS","4363"
"KPOB","POPE AFB",-79.0200,35.1700,66,"ASOS","4365"
"KPOE","FORT POLK (A",-93.2000,31.0500,100,"ASOS","4367"
"KPOU","POUGHKEEPSIE",-73.8842,41.6267,50,"ASOS","4369"
"KPRB","PASO ROBLES",-120.6269,35.6728,255,"ASOS","4378"
"KPRC","PRESCOTT/LOV",-112.4222,34.6492,1537,"ASOS","4379"
"KPSB","PHILIPSBURG/",-78.0800,40.8800,594,"ASOS","4384"
"KPSM","PEASE AFB/PO",-70.8200,43.0800,31,"ASOS","4388"
"KPUB","PUEBLO MEMOR",-104.4983,38.2900,1440,"ASOS","4400"
"KPVD","PROVIDENCE/G",-71.4281,41.7239,16,"ASOS","4407"
"KPWM","PORTLAND INT",-70.3044,43.6422,22,"ASOS","4416"
"KRAP","RAPID CITY R",-103.0539,44.0456,976,"ASOS","4586"
"KRBL","RED BLUFF MU",-122.2522,40.1506,106,"ASOS","4591"
"KRCA","ELLSWORTH AF",-103.1000,44.1500,999,"ASOS","4594"
"KRDM","REDMOND (AWO",-121.1497,44.2542,938,"ASOS","4603"
"KRDR","GRAND FORKS",-97.4000,47.9700,278,"ASOS","4604"
"KRDU","RALEIGH-DURH",-78.7864,35.8706,133,"ASOS","4605"
"KREE","REESE AFB/LU",-102.0500,33.6000,1017,"ASOS","4607"
"KRFD","ROCKFORD",-89.0933,42.1928,224,"ASOS","4609"
"KRIC","RICHMOND/BYR",-77.3233,37.5111,51,"ASOS","4616"
"KRIV","MARCH AFB/RI",-117.2700,33.8800,469,"ASOS","4620"
"KRKS","ROCK SPRINGS",-109.0653,41.5942,2060,"ASOS","4627"
"KRME","GRIFFISS AFB",-75.4000,43.2300,154,"ASOS","4630"
"KRMG","ROME/RUSSELL",-85.1611,34.3478,194,"ASOS","4631"
"KRND","RANDOLPH AFB",-98.2800,29.5300,232,"ASOS","4635"
"KRNO","RENO/CANNON",-119.7711,39.4839,1345,"ASOS","4638"
"KROA","ROANOKE MUNI",-79.9742,37.3169,358,"ASOS","4641"
"KROC","ROCHESTER/MO",-77.6767,43.1167,170,"ASOS","4642"
"KROW","ROSWELL/INDU",-104.5078,33.3081,1118,"ASOS","4645"
"KRSL","RUSSELL MUNI",-98.8131,38.8728,567,"ASOS","4658"
"KRWF","REDWOOD FALL",-95.0822,44.5472,312,"ASOS","4673"
"KSAC","SACRAMENTO/E",-121.4950,38.5069,6,"ASOS","4701"
"KSAN","SAN DIEGO/LI",-117.1831,32.7336,4,"ASOS","4704"
"KSAT","SAN ANTONIO",-98.4636,29.5328,246,"ASOS","4706"
"KSAV","SAVANNAH MUN",-81.2022,32.1189,15,"ASOS","4707"
"KSBA","SANTA BARBAR",-119.8436,34.4261,3,"ASOS","4710"
"KSBD","NORTON AIR F",-117.2333,34.1000,353,"ASOS","4711"
"KSBN","SOUTH BEND/S",-86.3186,41.7089,244,"ASOS","4713"
"KSBY","SALISBURY RE",-75.5103,38.3406,16,"ASOS","4716"
"KSCK","STOCKTON MET",-121.2236,37.8897,9,"ASOS","4720"
"KSDF","LOUISVILLE/S",-85.7297,38.1772,151,"ASOS","4723"
"KSEA","SEATTLE-TACO",-122.3136,47.4447,130,"ASOS","4727"
"KSFF","SPOKANE/FELT",-117.3203,47.6856,595,"ASOS","4736"
"KSFO","SAN FRANCISC",-122.3647,37.6197,3,"ASOS","4738"
"KSGF","SPRINGFLD MU",-93.3897,37.2397,386,"ASOS","4743"
"KSHR","SHERIDAN CO.",-106.9689,44.7694,1225,"ASOS","4756"
"KSHV","SHREVEPORT R",-93.8242,32.4469,78,"ASOS","4757"
"KSJT","SAN ANGELO/M",-100.4939,31.3514,584,"ASOS","4764"
"KSKA","FAIRCHILD AF",-117.6500,47.6200,750,"ASOS","4766"
"KSKF","KELLY AFB",-98.5800,29.3800,210,"ASOS","4768"
"KSLC","SALT LAKE CI",-111.9694,40.7781,1288,"ASOS","4772"
"KSLE","SALEM/MCNARY",-122.9950,44.9078,64,"ASOS","4773"
"KSLN","SALINA MUNIC",-97.6442,38.7800,387,"ASOS","4778"
"KSMP","STAMPEDE PAS",-121.3372,47.2767,1207,"ASOS","4786"
"KSNS","SALINAS MUNI",-121.6081,36.6636,25,"ASOS","4796"
"KSNY","SIDNEY MUNI",-102.9856,41.0994,1314,"ASOS","4798"
"KSPI","SPRINGFIELD/",-89.6839,39.8453,182,"ASOS","4808"
"KSPS","WICHITA FALL",-98.4928,33.9786,309,"ASOS","4810"
"KSSC","SHAW AFB/SUM",-80.4700,33.9700,74,"ASOS","4821"
"KSSI","BRUNSWICK/MA",-81.3914,31.1517,6,"ASOS","4823"
"KSTL","ST. LOUIS/LA",-90.3736,38.7525,184,"ASOS","4829"
"KSUU","TRAVIS AFB/F",-121.9300,38.2700,19,"ASOS","4839"
"KSUX","SIOUX CITY M",-96.3844,42.4025,335,"ASOS","4841"
"KSXT","SEXTON SUMMI",-123.3642,42.6003,1171,"ASOS","4850"
"KSYR","SYRACUSE/HAN",-76.1033,43.1092,128,"ASOS","4853"
"KSZL","WHITEMAN AFB",-93.5500,38.7300,265,"ASOS","4854"
"KTAD","TRINIDAD/ANI",-104.3300,37.2700,1756,"ASOS","4878"
"KTCC","TUCUMCARI MU",-103.6031,35.1828,1239,"ASOS","4885"
"KTCL","TUSCALOOSA M",-87.6158,33.2119,52,"ASOS","4886"
"KTCM","MC CHORD AFB",-122.4800,47.1300,98,"ASOS","4887"
"KTCS","TRUTH OR CON",-107.2681,33.2367,1478,"ASOS","4888"
"KTEB","TETERBORO AI",-74.0567,40.8589,2,"ASOS","4892"
"KTIK","TINKER AFB",-97.3800,35.4200,394,"ASOS","4900"
"KTLH","TALLAHASSEE",-84.3533,30.3931,24,"ASOS","4908"
"KTOL","TOLEDO EXPRE",-83.8014,41.5886,208,"ASOS","4921"
"KTOP","TOPEKA/BILLA",-95.6258,39.0725,268,"ASOS","4922"
"KTPA","TAMPA INTL A",-82.5403,27.9614,8,"ASOS","4925"
"KTPH","TONOPAH AIRP",-117.0872,38.0603,1654,"ASOS","4927"
"KTRI","BRISTOL/TRI-",-82.3989,36.4797,463,"ASOS","4931"
"KTUL","TULSA INTL A",-95.8864,36.1975,206,"ASOS","4941"
"KTUS","TUCSON INTL",-110.9553,32.1314,805,"ASOS","4943"
"KTVC","TRAVERSE CIT",-85.5700,44.7367,190,"ASOS","4944"
"KTXK","TEXARKANA RG",-93.9875,33.4561,118,"ASOS","4953"
"KTYR","TYLER/POUNDS",-95.4039,32.3586,165,"ASOS","4955"
"KTYS","KNOXVILLE MU",-83.9858,35.8181,299,"ASOS","4956"
"KUCA","UTICA/ONEIDA",-75.3844,43.1450,227,"ASOS","4973"
"KUIL","QUILLAYUTE S",-124.5550,47.9375,59,"ASOS","4980"
"KUIN","QUINCY MUNI/",-91.1944,39.9425,234,"ASOS","4981"
"KVAD","MOODY AFB/VA",-83.2000,30.9700,71,"ASOS","4998"
"KVCT","VICTORIA REG",-96.9297,28.8625,35,"ASOS","5004"
"KVCV","GEORGE AIR F",-117.3831,34.5975,879,"ASOS","5005"
"KVIH","ROLLA/VICHY",-91.7653,38.1319,350,"ASOS","5013"
"KVLD","VALDOSTA REG",-83.2800,30.7800,62,"ASOS","5017"
"KVPS","EGLIN AFB/VA",-86.5300,30.4800,26,"ASOS","5024"
"KVRB","VERO BEACH M",-80.4181,27.6556,7,"ASOS","5028"
"KVTN","VALENTINE (A",-100.5514,42.8586,789,"ASOS","5033"
"KWJF","LANCASTER/FO",-118.2189,34.7408,715,"ASOS","5067"
"KWMC","WINNEMUCCA M",-117.8072,40.9019,1311,"ASOS","5069"
"KWRB","WARNER ROBIN",-83.6000,32.6300,90,"ASOS","5070"
"KWRI","MCGUIRE AFB",-74.6000,40.0200,41,"ASOS","5071"
"KYKM","YAKIMA AIR T",-120.5336,46.5642,333,"ASOS","5120"
"KYNG","YOUNGSTOWN M",-80.6739,41.2544,364,"ASOS","5122"
"KYUM","YUMA INTL AI",-114.6061,32.6567,66,"ASOS","5123"
"KZZV","ZANESVILLE M",-81.8922,39.9444,274,"ASOS","5127"
"010160","ALEXANDER CI",-85.9333,32.9500,218,"COOP","7868"
"010178","ALICEVILLE",-88.1667,33.1333,41,"COOP","7871"
"010395","ATHENS 2",-86.9833,34.8000,219,"COOP","7881"
"010407","ATMORE",-87.5167,31.0167,67,"COOP","7884"
"010430","AUBURN AGRON",-85.5000,32.6000,199,"COOP","7888"
"010505","BANKHEAD LOC",-87.3500,33.4500,85,"COOP","7890"
"010616","BEATRICE 1 E",-87.2000,31.7333,54,"COOP","7894"
"010655","BELLE MINA 2",-86.8833,34.7000,183,"COOP","7896"
"011080","BREWTON 3 EN",-87.0333,31.1167,49,"COOP","7913"
"011301","CAMDEN 3 NW",-87.3167,32.0333,72,"COOP","7923"
"011512","CENTRE 4 SW",-85.7333,34.1167,188,"COOP","7931"
"011694","CLANTON",-86.6333,32.8500,177,"COOP","7939"
"012172","DAUPHIN ISLA",-88.0833,30.2500,2,"COOP","7959"
"012245","DEMOPOLIS LO",-87.8333,32.5167,30,"COOP","7967"
"012675","ENTERPRISE 5",-85.9000,31.3833,143,"COOP","7976"
"012730","EUFAULA WILD",-85.0833,32.0000,66,"COOP","7978"
"012758","EVERGREEN",-86.9333,31.4500,88,"COOP","7981"
"012813","FAIRHOPE 2 N",-87.8833,30.5500,7,"COOP","7983"
"012840","FALKVILLE 1",-86.8833,34.3667,191,"COOP","7985"
"013154","GADSDEN STEA",-86.0000,34.0333,172,"COOP","7998"
"013251","GENEVA 2",-85.8833,31.0500,44,"COOP","8002"
"013620","HALEYVILLE 2",-87.5833,34.2500,297,"COOP","8020"
"013645","HAMILTON 3 S",-87.9833,34.1000,133,"COOP","8022"
"013761","HEADLAND",-85.3333,31.3500,113,"COOP","8027"
"013775","HEFLIN",-85.6000,33.6500,259,"COOP","8028"
"013816","HIGHLAND HOM",-86.3167,31.9500,181,"COOP","8031"
"014226","JASPER 4 N",-87.2667,33.9000,160,"COOP","8047"
"015121","MARION JUNCT",-87.2167,32.4667,61,"COOP","8073"
"015439","MILSTEAD",-85.8833,32.4500,66,"COOP","8087"
"016121","ONEONTA",-86.4833,33.9500,265,"COOP","8117"
"016129","OPELIKA",-85.3833,32.6333,230,"COOP","8118"
"016501","PITTSVIEW",-85.1667,32.1833,77,"COOP","8140"
"016988","ROBERTSDALE",-87.7333,30.5667,47,"COOP","8155"
"017131","RUSSELLVILLE",-87.7333,34.5167,268,"COOP","8159"
"017207","SAND MOUNTAI",-85.9667,34.2833,336,"COOP","8162"
"017366","SELMA",-87.0000,32.4167,45,"COOP","8170"
"017999","SYLACAUGA 4",-86.2000,33.2000,149,"COOP","8184"
"018178","THOMASVILLE",-87.7333,31.9167,123,"COOP","8189"
"018209","THORSBY EXP",-86.6667,32.9167,207,"COOP","8191"
"018385","TUSCALOOSA O",-87.5833,33.2167,46,"COOP","8200"
"018438","UNION SPRING",-85.7167,32.1000,140,"COOP","8205"
"018469","VALLEY HEAD",-85.6167,34.5667,318,"COOP","8208"
"018517","VERNON 2 N",-88.1167,33.8000,122,"COOP","8210"
"018998","WINFIELD 2 S",-87.8333,33.9167,143,"COOP","8232"
"020060","AGUILA",-113.1833,33.9500,660,"COOP","8236"
"020080","AJO",-112.8667,32.3667,549,"COOP","8237"
"020100","ALAMO DAM",-113.5833,34.2333,393,"COOP","8243"
"020490","ASH FORK 5 N",-112.4667,35.2833,1695,"COOP","8266"
"020632","BARTLETT DAM",-111.6333,33.8167,503,"COOP","8277"
"020808","BLACK RIVER",-109.7500,33.4833,1841,"COOP","8298"
"020871","BLUE RIDGE R",-111.1811,34.6122,2097,"COOP","8300"
"021050","BULLHEAD CIT",-114.6000,35.1167,177,"COOP","8312"
"021574","CHEVELON RAN",-110.9167,34.5500,2135,"COOP","8343"
"021614","CHILDS",-111.7000,34.3500,808,"COOP","8344"
"021849","CLIFTON",-109.2833,33.0500,1055,"COOP","8351"
"023190","FOUNTAIN HIL",-111.7167,33.6000,482,"COOP","8414"
"023303","GANADO",-109.5667,35.7167,1932,"COOP","8421"
"023505","GLOBE RANGER",-110.7667,33.3833,1112,"COOP","8429"
"024089","HOLBROOK",-110.1667,34.9000,1548,"COOP","8466"
"024645","KINGMAN 2",-114.0167,35.2000,1079,"COOP","8493"
"024675","KITT PEAK",-111.6000,31.9667,2073,"COOP","8494"
"024759","LAKE HAVASU",-114.3667,34.4500,147,"COOP","8499"
"025129","LUKACHUKAI",-109.2333,36.4167,1987,"COOP","8514"
"025467","MESA EXPERIM",-111.8667,33.4167,375,"COOP","8531"
"025700","MORMON FLAT",-111.4500,33.5500,523,"COOP","8541"
"026180","PAGE",-111.4500,36.9167,1302,"COOP","8572"
"026479","PHOENIX SOUT",-112.0500,33.3333,807,"COOP","8598"
"026538","PIERCE FERRY",-114.0833,35.8833,1308,"COOP","8604"
"026796","PRESCOTT",-112.4667,34.5667,1679,"COOP","8620"
"027281","ROOSEVELT 1",-111.1500,33.6667,672,"COOP","8635"
"027370","SACATON",-111.7500,33.0667,393,"COOP","8645"
"027390","SAFFORD EXPE",-109.6833,32.8167,900,"COOP","8648"
"027480","SAN CARLOS R",-110.5333,33.1833,772,"COOP","8661"
"027567","SAN SIMON 9",-109.0833,32.1667,1183,"COOP","8669"
"028018","SNOWFLAKE 15",-110.3333,34.5000,1853,"COOP","8701"
"028214","STEWART MOUN",-111.5333,33.5500,433,"COOP","8708"
"028396","TACNA 3 NE",-113.9167,32.7167,99,"COOP","8721"
"028489","TEMPE",-111.9333,33.4333,351,"COOP","8727"
"028619","TOMBSTONE",-110.0500,31.7000,1405,"COOP","8738"
"028800","TUCSON MAGNE",-110.8333,32.2500,792,"COOP","8754"
"028904","TUZIGOOT NAT",-112.0333,34.7667,1058,"COOP","8764"
"029271","WHITERIVER",-109.9667,33.8333,1610,"COOP","8784"
"029309","WIKIEUP",-113.6167,34.7000,613,"COOP","8787"
"029376","WILLOW BEACH",-114.6500,35.8667,244,"COOP","8793"
"029652","YUMA CITRUS",-114.6500,32.6167,45,"COOP","8814"
"029657","YUMA VALLEY",-114.7167,32.7167,37,"COOP","8819"
"030586","BENTONVILLE",-94.2167,36.3500,395,"COOP","8858"
"030764","BLAKELY MOUN",-93.2000,34.5667,130,"COOP","8868"
"030798","BLUE MOUNTAI",-93.6506,35.1161,130,"COOP","8869"
"030806","BLYTHEVILLE",-89.9044,35.9239,77,"COOP","8871"
"030936","BRINKLEY",-91.1833,34.8833,61,"COOP","8886"
"031152","CAMDEN 1",-92.8167,33.6000,35,"COOP","8895"
"031455","CLARKSVILLE",-93.4500,35.4833,137,"COOP","8914"
"031730","CROSSETT 2 S",-91.9492,33.1111,39,"COOP","8930"
"031948","DE QUEEN",-94.3333,34.0333,120,"COOP","8944"
"031962","DERMOTT 3 NE",-91.3833,33.5500,44,"COOP","8950"
"032355","EUDORA",-91.1500,33.0667,41,"COOP","8969"
"032540","FORDYCE",-92.4000,33.8167,70,"COOP","8979"
"032978","GREERS FERRY",-92.0000,35.5167,161,"COOP","9010"
"033242","HELENA",-90.5833,34.5333,59,"COOP","9028"
"033428","HOPE 3 NE",-93.5500,33.7167,114,"COOP","9035"
"033466","HOT SPRINGS",-93.0500,34.5167,207,"COOP","9039"
"033821","KEISER",-90.0847,35.6744,71,"COOP","9056"
"034756","MENA",-94.2661,34.5731,344,"COOP","9104"
"034934","MOROBAY LOCK",-92.4500,33.3167,27,"COOP","9109"
"034988","MOUNT IDA 3",-93.6000,34.5333,212,"COOP","9113"
"035038","MOUNTAIN HOM",-92.3833,36.3333,244,"COOP","9119"
"035046","MOUNTAIN VIE",-92.1167,35.8667,235,"COOP","9120"
"035112","NASHVILLE EX",-93.9333,34.0000,168,"COOP","9126"
"035186","NEWPORT",-91.2833,35.6000,67,"COOP","9132"
"035754","PINE BLUFF",-92.0167,34.2167,66,"COOP","9168"
"036624","SILOAM SPRIN",-94.5333,36.1667,348,"COOP","9211"
"036768","SPARKMAN",-92.8333,33.9167,52,"COOP","9214"
"036804","STAMPS",-93.4833,33.3667,82,"COOP","9216"
"036920","STUTTGART 9",-91.4167,34.4667,60,"COOP","9222"
"037582","WARREN 2 WSW",-92.1000,33.6000,81,"COOP","9242"
"040161","ALTURAS RANG",-120.5500,41.5000,1341,"COOP","9286"
"040212","ANGWIN PAC U",-122.4333,38.5667,523,"COOP","9295"
"040232","ANTIOCH PUMP",-121.7333,37.9833,18,"COOP","9299"
"040383","AUBURN",-121.0667,38.9000,393,"COOP","9322"
"040385","AUBURN DAM P",-121.0667,38.8833,387,"COOP","9323"
"040395","AVALON PLEAS",-118.3167,33.3500,8,"COOP","9327"
"040436","BAKER",-116.0667,35.2667,287,"COOP","9335"
"040931","BOCA",-120.1000,39.3833,1699,"COOP","9415"
"040983","BORREGO DESE",-116.4000,33.2500,245,"COOP","9421"
"041112","BROOKS FARNH",-122.1500,38.7667,90,"COOP","9455"
"041214","BURNEY",-121.6667,40.8833,958,"COOP","9470"
"041244","BUTTONWILLOW",-119.4667,35.4000,93,"COOP","9476"
"041277","CALAVERAS BI",-120.3167,38.2833,1431,"COOP","9486"
"041428","CAMP PARDEE",-120.8500,38.2500,201,"COOP","9502"
"041614","CEDARVILLE",-120.1667,41.5333,1423,"COOP","9536"
"041697","CHERRY VALLE",-119.9167,37.9667,1452,"COOP","9546"
"042239","CUYAMACA",-116.5833,32.9833,1414,"COOP","9666"
"042294","DAVIS 2 WSW",-121.7833,38.5333,18,"COOP","9675"
"042319","DEATH VALLEY",-116.8667,36.4667,-54,"COOP","9680"
"042467","DONNER MEMOR",-120.2333,39.3167,1810,"COOP","9704"
"042516","DRY CANYON R",-118.5333,34.4833,443,"COOP","9712"
"042574","DUNSMUIR TRE",-122.2667,41.2000,661,"COOP","9721"
"042598","EAGLE MOUNTA",-115.4500,33.8000,297,"COOP","9726"
"042640","EAST PARK RE",-122.5167,39.3667,367,"COOP","9730"
"042671","ECHO SUMMIT",-120.0333,38.7833,2240,"COOP","9735"
"042709","EL CAPITAN D",-116.8167,32.8833,183,"COOP","9738"
"042771","EL MIRAGE FI",-117.6000,34.6000,887,"COOP","9747"
"042934","FAIRFIELD FI",-122.0000,38.2667,12,"COOP","9764"
"042941","FAIRMONT",-118.4333,34.7000,933,"COOP","9766"
"043113","FOLSOM DAM",-121.1667,38.7000,107,"COOP","9793"
"043130","FOREST GLEN",-123.3333,40.3833,713,"COOP","9797"
"043161","FORT BRAGG 1",-123.8000,39.4500,24,"COOP","9803"
"043261","FRIANT GOVER",-119.7167,37.0000,125,"COOP","9827"
"043551","GRANT GROVE",-118.9667,36.7333,2011,"COOP","9877"
"043573","GRASS VALLEY",-121.0667,39.2000,732,"COOP","9881"
"043578","GRATON",-122.8667,38.4333,61,"COOP","9883"
"043647","GRIZZLY CREE",-123.9167,40.4833,125,"COOP","9891"
"043710","HAIWEE",-117.9500,36.1333,1166,"COOP","9905"
"043747","HANFORD 2 S",-119.6500,36.3000,60,"COOP","9911"
"043914","HENSHAW DAM",-116.7667,33.2333,823,"COOP","9935"
"044025","HOLLISTER 2",-121.4167,36.8500,84,"COOP","9954"
"044232","INDEPENDENCE",-118.2000,36.8000,1204,"COOP","9987"
"044297","IRON MOUNTAI",-115.1333,34.1333,281,"COOP","10000"
"044712","LAKE SOLANO",-122.0000,38.5000,43,"COOP","10082"
"044890","LEMON COVE",-119.0333,36.3833,156,"COOP","10111"
"045118","LOS BANOS",-120.8667,37.0500,37,"COOP","10160"
"045233","MADERA",-120.0333,36.9500,82,"COOP","10183"
"045449","MC CLOUD",-122.1333,41.2500,1000,"COOP","10217"
"045679","MINERAL",-121.6000,40.3500,1486,"COOP","10248"
"045866","MORRO BAY FI",-120.8500,35.3667,35,"COOP","10286"
"045890","MOUNTAIN PAS",-115.5500,35.4667,1442,"COOP","10290"
"045915","MOUNT DIABLO",-121.9333,37.8833,661,"COOP","10297"
"046136","NEVADA CITY",-121.0333,39.2500,793,"COOP","10338"
"046144","NEWARK",-122.0333,37.5167,3,"COOP","10340"
"046154","NEW CUYAMA F",-119.6833,34.9500,659,"COOP","10343"
"046506","ORLAND",-122.2000,39.7500,77,"COOP","10414"
"046527","OROVILLE DAM",-121.4833,39.5333,259,"COOP","10421"
"046569","OXNARD",-119.1833,34.2000,1,"COOP","10426"
"046646","PALO ALTO",-122.1333,37.4500,8,"COOP","10448"
"046699","PARKER RESER",-114.1667,34.2833,225,"COOP","10458"
"046826","PETALUMA FIR",-122.6333,38.2333,8,"COOP","10482"
"046926","PINNACLES NA",-121.1833,36.4833,398,"COOP","10495"
"046960","PLACERVILLE",-120.8000,38.7333,576,"COOP","10507"
"047009","POINT ARENA",-123.7000,38.9000,60,"COOP","10516"
"047077","PORTERVILLE",-119.0167,36.0667,146,"COOP","10531"
"047404","RICHARDSON G",-123.7833,40.0333,152,"COOP","10591"
"047643","SAINT HELENA",-122.4833,38.5167,69,"COOP","10625"
"047846","SAN LUIS DAM",-121.0667,37.0500,84,"COOP","10684"
"047851","SAN LUIS OBI",-120.6667,35.3000,96,"COOP","10685"
"047916","SANTA CRUZ",-121.9911,36.9906,40,"COOP","10712"
"047965","SANTA ROSA",-122.7167,38.4833,51,"COOP","10726"
"048045","SCOTIA",-124.1000,40.4833,42,"COOP","10741"
"048560","STOCKTON FIR",-121.3167,38.0000,4,"COOP","10842"
"048587","STONY GORGE",-122.5333,39.5833,244,"COOP","10846"
"048702","SUSANVILLE A",-120.5667,40.3833,1264,"COOP","10862"
"048758","TAHOE CITY",-120.1333,39.1667,1899,"COOP","10870"
"048999","TRACY CARBON",-121.4314,37.6950,43,"COOP","10908"
"049026","TRINITY RIVE",-122.8000,40.7333,567,"COOP","10913"
"049035","TRONA",-117.3833,35.7667,517,"COOP","10914"
"049043","TRUCKEE RANG",-120.1833,39.3333,1835,"COOP","10918"
"049087","TUSTIN IRVIN",-117.7833,33.7333,36,"COOP","10931"
"049185","UPPER SAN LE",-122.1667,37.7667,120,"COOP","10954"
"049325","VICTORVILLE",-117.3000,34.5333,871,"COOP","10974"
"049367","VISALIA",-119.3000,36.3333,91,"COOP","10978"
"049473","WATSONVILLE",-121.7667,36.9333,29,"COOP","11001"
"049499","WEED FIRE DE",-122.3833,41.4333,1094,"COOP","11006"
"049621","WHISKEYTOWN",-122.5333,40.6167,395,"COOP","11025"
"049671","WILDROSE RAN",-117.1833,36.2667,1250,"COOP","11032"
"049677","WILLIAMS",-122.1500,39.1500,26,"COOP","11034"
"049855","YOSEMITE PAR",-119.5833,37.7500,1209,"COOP","11071"
"049866","YREKA",-122.6333,41.7000,800,"COOP","11073"
"050109","AKRON 4 E",-103.1500,40.1500,1384,"COOP","11083"
"050372","ASPEN 1 SW",-106.8333,39.1833,2488,"COOP","11112"
"050405","AVON",-106.5167,39.6333,2283,"COOP","11115"
"050454","BAILEY",-105.4833,39.4000,2354,"COOP","11118"
"050674","BERTHOUD PAS",-105.7833,39.8000,3448,"COOP","11127"
"050834","BONNY LAKE",-102.1833,39.6333,1142,"COOP","11140"
"051528","CHEESMAN",-105.2833,39.2167,2095,"COOP","11188"
"051547","CHERRY CREEK",-104.8500,39.6500,1721,"COOP","11190"
"051660","CLIMAX",-106.1833,39.3667,3459,"COOP","11198"
"051741","COLLBRAN",-107.9667,39.2500,1823,"COOP","11203"
"051886","CORTEZ",-108.5500,37.3667,1893,"COOP","11221"
"051932","CRAIG 4 SW",-107.6000,40.4500,1963,"COOP","11224"
"052281","DILLON 1 E",-106.0333,39.6333,2763,"COOP","11260"
"053489","GRAND JUNCTI",-108.4500,39.0500,1451,"COOP","11362"
"053530","GRANT",-105.6833,39.4667,2641,"COOP","11368"
"054250","IGNACIO 1 N",-107.6333,37.1333,2007,"COOP","11416"
"054444","KARVAL",-103.5333,38.7333,1547,"COOP","11427"
"054603","KIT CARSON 6",-102.7667,38.7000,1290,"COOP","11442"
"055414","MARVINE RANC",-107.4667,40.0333,2377,"COOP","11501"
"055706","MONTE VISTA",-106.0833,37.5667,2327,"COOP","11520"
"055722","MONTROSE NO",-107.8833,38.4833,1778,"COOP","11524"
"055878","NEDERLAND 2",-105.5000,39.9833,2512,"COOP","11538"
"056136","ORDWAY 21 N",-103.7000,38.5167,1419,"COOP","11556"
